Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
29-03-2011,689.9,696.9,682.45,691.5,691.25,36729,253.66
30-03-2011,704.1,704.1,690.05,692,693.55,32234,224.68
31-03-2011,699.95,699.95,673.05,690,681.95,101578,698.28
01-04-2011,691.95,717.6,683.05,704.25,705.95,109189,771.49
04-04-2011,712,740,707,739.05,737.6,126306,918.33
05-04-2011,745.65,758,732.15,750.1,749.9,95564,712.91
06-04-2011,763.4,764.85,745.15,749.5,750.6,78233,591.75
07-04-2011,752.05,770.05,743.6,758.3,759.25,100710,765.72
08-04-2011,760.1,761,730.65,735.25,736.05,64734,482.61
11-04-2011,734.95,746.45,720.55,723,722.85,38678,281.63
13-04-2011,718.95,739.65,716,729.05,729.95,74885,547.26
15-04-2011,737.35,737.35,724,725.05,728.15,46625,340.12
18-04-2011,723.05,739.9,720.1,723.95,724.3,37974,277.41
19-04-2011,722.15,732.1,712.05,717.1,715.9,31770,228.61
20-04-2011,728.8,730,717.5,723.95,723.05,20115,145.93
21-04-2011,726.35,734.9,720.25,725.7,725.35,13231,96.15
25-04-2011,728,734.75,718.25,725.5,727.7,28445,206.71
26-04-2011,721.05,727.25,716.35,724,724.3,13864,100.1
27-04-2011,724.8,729,718.2,723,720.9,23784,172.1
28-04-2011,720,724.9,705.4,714.4,708.35,64842,461.28
29-04-2011,721.3,721.3,687.2,697.5,694.85,30652,214.08
02-05-2011,686,700,655,670,670.6,48880,328.41
03-05-2011,685,689.8,654.2,662,662.8,60952,413.37
04-05-2011,664.05,678,655.95,671,674.05,40199,269.17
05-05-2011,688.95,688.95,655.1,657.5,657.65,42224,282.28
06-05-2011,661.1,670.55,655.6,668,668.7,29406,195.28
09-05-2011,651,684.9,651,663,665.8,13872,92.81
10-05-2011,677.8,677.8,658.2,661,661.35,15202,101.19
11-05-2011,670,670,657.9,664,660.95,18395,121.89
12-05-2011,664,667,655.55,656.5,657.55,21495,142.16
13-05-2011,652.05,666.85,639.2,658,659.3,27285,180.27
16-05-2011,662.05,662.65,648.05,652,652.15,16123,105.62
17-05-2011,640.4,656,640.4,649,646.55,13665,88.73
18-05-2011,658.25,658.25,637.5,640,640.45,29794,192.28
19-05-2011,646.95,646.95,638,638.05,638.8,32776,210.14
20-05-2011,630.1,646.95,628,643.5,643.55,17721,113.94
23-05-2011,645,649.85,628,629.9,630.35,13001,82.26
24-05-2011,630.05,637.4,620.25,624,622.85,24487,153.24
25-05-2011,622.9,622.9,602.65,613,613,98938,602.31
26-05-2011,613.15,630,608,627.9,625.25,42290,263.22
27-05-2011,620.6,661,620.6,650,650.85,54678,354.84
30-05-2011,650,661.8,645,646.05,646.85,42583,277.67
31-05-2011,651.95,662.8,644,658.15,653.1,49932,325.15
01-06-2011,651.15,657,610,610,612.45,399463,2473.96
02-06-2011,609.4,610,582.3,605,603.75,185691,1116.85
03-06-2011,605,615,600.1,604.2,604,77658,472.62
06-06-2011,610.95,610.95,596.65,599.7,598.45,55415,333.41
07-06-2011,602.85,603,594.05,598.5,599,86730,519.75
08-06-2011,596,605.4,596,601.5,599.65,23178,139.25
09-06-2011,597.05,602.9,597.05,599.2,599.5,26643,159.85
10-06-2011,606,606,594.65,595.05,596.35,60099,358.73
13-06-2011,587,598.15,582.3,588.7,588.25,32284,190.55
14-06-2011,598.9,598.9,582.05,584,583.75,39887,234.08
15-06-2011,589,589.5,582.5,586,584.95,43714,255.98
16-06-2011,585,585.8,578.1,580,579.75,24345,141.62
17-06-2011,582.05,593,575,590,587.95,42327,247.19
20-06-2011,590,594.8,552,571,572.7,72415,417.7
21-06-2011,580.95,580.95,555,556,559.4,227763,1291.22
22-06-2011,562.05,563.95,538,540,541.2,52568,286.93
23-06-2011,541.2,557.65,529,549,552.15,80586,439.84
24-06-2011,556.05,576.9,556,566.1,568.15,116422,663.58
27-06-2011,552.6,587,552,579.8,578,65940,381.47
28-06-2011,580,586.65,579,584.9,583.5,38689,225.83
29-06-2011,576.75,598.9,576.75,591.25,592.75,47266,279.99
30-06-2011,596.7,599,578,580,580.2,61080,356.55
01-07-2011,576,594.95,575.75,592,589.35,65796,387.48
04-07-2011,594,598.75,588,598.5,594.45,38182,226.85
05-07-2011,594.45,619,594.45,609.2,610.05,119150,729.13
